source_name,source_url,source_type,source_role,priority,package_id,package_name,package_title,organization,resource_id,resource_name,resource_format,resource_url,last_modified,access_method,refresh_status,http_status,rows_loaded,file_path,included_in_public_records,error_message,checked_at
data.gov.il CKAN search: התחדשות עירונית,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,התחדשות עירונית,,,,JSON,,,package_search_paginated,discovered,200.0,3,,False,,2026-06-22T09:20:32+00:00
data.gov.il CKAN search: פינוי בינוי,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,פינוי בינוי,,,,JSON,,,package_search_paginated,discovered,200.0,1,,False,,2026-06-22T09:20:32+00:00
data.gov.il CKAN search: פינוי-בינוי,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,פינוי-בינוי,,,,JSON,,,package_search_paginated,discovered,200.0,7,,False,,2026-06-22T09:20:32+00:00
"data.gov.il CKAN search: תמ""א 38",https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,"תמ""א 38",,,,JSON,,,package_search_paginated,discovered,200.0,0,,False,,2026-06-22T09:20:32+00:00
data.gov.il CKAN search: תמא 38,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,תמא 38,,,,JSON,,,package_search_paginated,discovered,200.0,0,,False,,2026-06-22T09:20:33+00:00
data.gov.il CKAN search: מתחמי התחדשות,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,מתחמי התחדשות,,,,JSON,,,package_search_paginated,discovered,200.0,2,,False,,2026-06-22T09:20:34+00:00
data.gov.il CKAN search: מתחמים מוכרזים,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,מתחמים מוכרזים,,,,JSON,,,package_search_paginated,discovered,200.0,1,,False,,2026-06-22T09:20:45+00:00
data.gov.il CKAN search: רשות ממשלתית להתחדשות עירונית,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,רשות ממשלתית להתחדשות עירונית,,,,JSON,,,package_search_paginated,discovered,200.0,0,,False,,2026-06-22T09:20:45+00:00
data.gov.il CKAN search: urban renewal,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,urban renewal,,,,JSON,,,package_search_paginated,discovered,200.0,2,,False,,2026-06-22T09:20:45+00:00
data.gov.il CKAN search: gis_urban_renewal,https://data.gov.il/api/3/action/package_search,government_open_data_api,source_discovery,1,,,gis_urban_renewal,,,,JSON,,,package_search_paginated,discovered,200.0,90,,False,,2026-06-22T09:20:51+00:00
