_id,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
1,3400 ,חברון , ,77,חברון ,11,ירושלים ,0,
2,1347 ,קצר א-סר , ,62,באר שבע ,62,באר שבע ,68,נווה מדבר
3,1331 ,כמאנה , ,24,עכו ,20,כרמיאל ,56,משגב
4,3777 ,סנסנה , ,77,חברון ,62,באר שבע ,78,הר חברון
5,963 ,אעצם (שבט) ,A'SAM ,62,באר שבע ,62,באר שבע ,0,
6,1220 ,אבירים ,ABBIRIM ,24,עכו ,24,עכו ,52,מעלה יוסף
7,958 ,אבו עבדון (שבט) ,ABU ABDUN ,62,באר שבע ,62,באר שבע ,0,
8,1042 ,אבו עמאר (שבט) ,ABU AMMAR ,62,באר שבע ,62,באר שבע ,0,
9,932 ,אבו עמרה (שבט) ,ABU AMRE ,62,באר שבע ,62,באר שבע ,0,
10,472 ,אבו גוש ,ABU GHOSH ,11,ירושלים ,11,ירושלים ,0,
11,967 ,אבו ג'ווייעד (שבט) ,ABU JUWEI'ID ,62,באר שבע ,62,באר שבע ,0,
12,968 ,אבו קורינאת (שבט) ,ABU QUREINAT ,62,באר שבע ,62,באר שבע ,0,
13,1342 ,אבו קרינאת (יישוב) ,ABU QUREINAT ,62,באר שבע ,62,באר שבע ,68,נווה מדבר
14,966 ,אבו רובייעה (שבט) ,ABU RUBEI'A ,62,באר שבע ,62,באר שבע ,0,
15,961 ,אבו רוקייק (שבט) ,ABU RUQAYYEQ ,62,באר שבע ,62,באר שבע ,0,
16,473 ,אבו סנאן ,ABU SINAN ,24,עכו ,24,עכו ,0,
17,935 ,אבו סריחאן (שבט) ,ABU SUREIHAN ,62,באר שבע ,62,באר שבע ,0,
18,1375 ,אבו תלול ,ABU TULUL ,62,באר שבע ,62,באר שבע ,68,נווה מדבר
19,1068 ,אדמית ,ADAMIT ,24,עכו ,24,עכו ,4,מטה אשר
20,2035 ,עדנים ,ADANIM ,42,פתח תקווה ,42,פתח תקוה ,20,דרום השרון
21,1123 ,אדרת ,ADDERET ,11,ירושלים ,13,בית שמש ,26,מטה יהודה
22,113 ,אדירים ,ADDIRIM ,23,עפולה ,23,עפולה ,8,הגלבוע
23,3874 ,עדי עד ,ADE AD ,74,ראמאללה ,11,ירושלים ,73,מטה בנימין
24,1199 ,עדי ,ADI ,24,עכו ,24,עכו ,9,עמק יזרעאל
25,3759 ,אדורה ,ADORA ,77,חברון ,13,בית שמש ,78,הר חברון
26,3987 ,אדוריים ,ADORAYIM ,77,חברון ,11,ירושלים ,78,הר חברון
27,959 ,אפיניש (שבט) ,AFEINISH ,62,באר שבע ,62,באר שבע ,0,
28,313 ,אפק ,AFEQ ,24,עכו ,24,עכו ,4,מטה אשר
29,4301 ,אפיק ,AFIQ ,29,גולן ,22,טבריה ,71,גולן
30,176 ,אפיקים ,AFIQIM ,22,כנרת ,22,טבריה ,6,עמק הירדן
