_id,מפתח לפוליגון תכנית,מספר תוכנית,שם תוכנית,שלב תכנוני,יזם תכנון,סמל יישוב,יישוב,תאריך קיום תנאי סף,תאריך פרסום להפקדה ברשומות,תאריך פרסום לאישור ברשומות,קישור לאתר רשות מקרקעי ישראל,קישור לאתר מנהל תכנון,יחד פוטנציאל לשיווק
1,806201,תמל/1064,"תמל/1064- מתחם בן שמן, לוד",תנאי סף,דירה להשכיר,7000,לוד,19/12/2017,-,-,,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBX5YQ0rIyIsExG%2BCNQvc7x%2BBVA2AVMvcukvN6L8NgkZ9UM%2FDe%2FtA0PhsQC%2Fe0RWvUGlBc5KNGd2R9P4pS18AJXZUEBFM19A%2BCk%3D,4002
2,2857701,תמל/1070,טמרה-רובע דרומי,תנאי סף,משרד הבינוי והשיכון,8900,טמרה,12/09/2017,-,-,,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBWflidxG%2FNqEIudFsK0mo2K%2BmbISUojpjIfnD3gMtrA%2BlY3o1G9%2BnwKKPwv%2BUl8uWNBAEvaw%2BQZ81tOF4I14Wkx%2FdRa4cJk3jI%3D,5765
3,87804,תמל/1068,רמת השרון מערב - מתחם צפוני,תנאי סף,"רמ""י",2650,רמת השרון,13/12/2017,-,-,,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXgNHZmHQTvGUioTOBKNShtHfOQrVyjJeHI1dpGOoy4L6bZy7rxf4Eo5QFGw%2B3XGlpE4ELqURoa1dPLutv1P5x2vHlmuF46e4s%3D,1510
4,2893502,תמל/1042,עכו מזרח,תוקף,משרד הבינוי והשיכון,7600,עכו,16/05/2017,-,09/01/2018,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3050130,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBWlBJh4E0%2FAlZ0AbOtOQQFcH5p8W9Qtt1CUcJGRM6HnySGt0pUUVulOnyTb4maZg4909tGkujTjhJNgHxV5mPhvbkH68VBwmbU%3D,7994
5,93201,תמל/1063,דיר אל אסד. שכונה מערבית,הפקדה,"רמ""י",490,דיר אל-אסד,23/10/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2051772,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBWu%2BxxD%2Bjw8u86t5UNM85JE1vpO8VFYw0%2BtCrs6gyZL88pf7xgGbG6J%2BS%2B6AApmyoxXm5CCixsjO9U9Ho9M%2Fa%2BLFEL76wb060Y%3D,530
6,110501,תמל/1046,אור יהודה - שכונת פארק איילון,הפקדה,"רמ""י",2400,אור יהודה,16/07/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5050070,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXFXpMZKmMMfhObLZl0ef%2F2YwisnkFilGUc03%2BfEtV0Qe6h%2F4cKbQ959YtWIx9LuUVILPJ%2BJtse1254vZEoWALiytFfmgKditY%3D,2376
7,94001,תמל/1056,רובע גלבוע,הפקדה,"רמ""י",7700,עפולה,11/07/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2051654,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBVBIkXDZpsmVtjp9mFQjrUV%2FORMBYce9sKG4N7Xese3RlV4v5WDDmfA9KSn1u%2FYqpf9puop2No9U5Cvwb4Ax3tZ96PM9Dy2yd8%3D,8185
8,112901,תמל/1045,בני ברק צפון מגורים,הפקדה,"רמ""י",6100,בני ברק,03/07/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5050119,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBU1Yl2b3OjgooRlhRo8i9DNsIlka2TJex%2FXyABRMCzjDJM3HNNCUkhY4bejXLfF83Q%2Bv%2F7pfnSX4DefcXotCNSyue7qQc8Yzcc%3D,2100
9,2813101,תמל/1057,מתחם צוריאל -מעלות תרשיחא,תוקף,משרד הבינוי והשיכון,1063,מעלות תרשיחא,08/02/2017,-,02/10/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2051381,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBU4XVarmD8Cn8Vp6dSHbOcgAhxGr8D8RIXxKRIG3J7DQIlh5J42a6FNya6iN4duK8NxWzDvQeey33Co7SOKNQJHoFsbDb2AGJw%3D,2292
10,105401,תמל/1041,גני יהודה,הפקדה,"רמ""י",9400,יהוד,14/09/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4050245,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBVNBXveqHHaR6M%2BIvLirDawv4%2B%2BVT7BLGpr26SaXvm%2BQmRr0T1EaoEZPDjBR0OMsmHheaHpMZriHGAxGGwGYt216lD0AkN8QtE%3D,4412
11,805901,תמל/1053,לוד - הרובע המערבי,הפקדה,דירה להשכיר,7000,לוד,23/01/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4023854,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXgf%2FYN79fBjc8sMzVokViN22HiHtcIqsHXFBx0rST94ziCJThVuiUUbDdf2zbYlyFAkIAarbWaxB3PZ0S5F6dKz%2FlxjQfhuq0%3D,11150
12,96201,תמל/1034,אופקים חדשים,הפקדה,"רמ""י",31,אופקים,30/01/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6009779,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBV2Py19CzPARIBpKD%2FRHDb7MJlHugxGua42%2Fpdg6%2FJTbv0jQXfBoG34dAdo%2Bu0J%2FNCV354mHFBlNER6Lvyr0dCUaa%2F0FxOCO9Y%3D,7400
13,65501,תמל/1017,"הרחבת בת חפר- תוספת יח""ד ותעסוקה ושינוי תכנון מרכז הישוב",תוקף,"רמ""י",1319,בת חפר,30/01/2017,-,15/11/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4050064,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBUQoUqGWthUhMykubiKuOawARKR1PUfTa%2BnXeNGZWR6u1cuQQsKGcVqiDPUyCc6RgOYP0WNNTz9%2BTRMFg7rOjDZR%2FtB7Iwu3Yc%3D,1002
14,2888401,תמל/1022,אשקלון - אגמים מזרח,תוקף,משרד הבינוי והשיכון,7100,אשקלון,25/05/2016,-,28/12/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=1015151,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBUCYObidy8O8tIwJcM3SYQ4BmJINlm7%2BbjiNRY86SJTAGa3LevC7tvwJGW9glpp%2Fh0nvWT4yYR6vpg7kNXidWXdnUJBncGyKd8%3D,5180
15,2906501,תמל/1039,מתחם מגורים בין כביש444 וכביש 6,תוקף,משרד הבינוי והשיכון,2730,טיבה,15/05/2016,-,24/09/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4023657,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXG1xODW%2Bk8tWwHgcSWFRJClUrDe8trARhtGHXLg9cfx9k0TA51oxvnpXMqQY73vTcD5Acu56t2ca%2B%2BWyY%2B37YLKKo0NyuY0fk%3D,27
16,34805,תמל/1004/ב,אפולוניה צפון,תוקף,"רמ""י",6400,הרצליה,09/10/2016,-,03/07/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5009528,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXsHALOHGH5%2FoOobbodXouaFkdOhIGSk5gIj%2B8RceKC%2F58nXBfZ5%2FfihiWsSNqYjB%2Fb55FtN4p8BeoTML0Y6L6RgUyVelSo49I%3D,1019
17,2890101,תמל/1032,קצרין - רובע 12,תוקף,משרד הבינוי והשיכון,4100,קצרין,28/03/2016,-,07/12/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2014535,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBVMojhaG1KLiLxqLtVhrD4aoeFmu15o3cJgplVuO23DiIZv0jZbsvvrLUYSIj1J0xns6r8yJzN%2BwV5%2BkyWd3AjnG0qAT6tgTY8%3D,1252
18,104001,תמל/1025,צפון מערב קרית אתא,תנאי סף,"רמ""י",6800,קרית אתא,23/01/2018,-,-,,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBUA4SPZZW95DWsKsOoWTnKc%2BpAfxRvJ2v3xsqWX4yFpAJRe3kPkAKpJFYQWDpObYUyoMHFNkdiyhcLaXcQo2Y%2FKPGMpkHRLSbs%3D,15689
19,94201,תמל/1020,"תמ""ל - ביר אל מכסור מתחם מגורים ואיזור תעסוקה מקומי",תוקף,"רמ""י",998,ביר אל מכסור,10/01/2016,-,08/11/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2014442,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBW0vqUXu%2BS1seKgjL7gJVZf%2Fl2670CW3%2F%2BufuzsyPbjuINnqyoSL%2Bw1eSj4QCjAqzlbl0948SQbCMhMEl3Ogr0aZacFdwK17ew%3D,713
20,81502,תמל/1023,דרום תל השומר מתחם 5,תוקף,"רמ""י",8600,רמת גן,14/03/2017,-,17/12/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5009627,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBXL0onRX8GmR7Kk0mNxzcWKzG99LoL26LEHL5VtyVgBUk97gS7dOY76xs9jpiY4hwemkZJl0j4sFITD%2F%2FihX77qo6e3Jtu0Az8%3D,3282
21,95401,תמל/1012,מורדות רמות,הפקדה,"רמ""י",3000,ירושלים,27/10/2015,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=1014984,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBUF8lS2r09u6K6TiWA83iXuhi%2B4aMPtkvjxUzI7kX8NYsoD3FauaEK6Dj5gl9VJna8NA%2BP4iVVbvYL8lvX2xT6e%2FUYyK0efB7A%3D,1675
22,92101,תמל/1038,"גני אז""ר",הפקדה,"רמ""י",8600,רמת גן,27/04/2017,-,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5050069,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBVKLKWm9uu64pzy7Ie6EzKSnZcGa5jv85oNQHXF4cAdkbVfXxhKPeAHaKAplFsGZXm8n3ZLiCxBjB6v8vbheeIXu54dArsF43c%3D,2265
23,97503,תמל/1008,טורעאן - שכונת רכס טורעאן,תוקף,"רמ""י",498,טורעאן,05/07/2015,-,07/07/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2014147,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBW3PLNZQwsqt%2BG1yYuAZFCRkHAtVaKazll2GFlOvnY%2F4myG5YYd6qZrCiQiyhlOJe9aSDVzKxXzzWRmq5CNL%2BtDM833W4lDfFY%3D,69
24,804601,תמל/1003,גן יבנה מערב,תוקף,דירה להשכיר,166,גן יבנה,01/12/2014,-,07/07/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4023271,http://mavat.moin.gov.il/MavatPS/Forms/SV4.aspx?tid=4&mp_id=6vCdEltSxBX%2Fska3HNcgZUxV2ik52eIkJ%2BOuN6pTJL%2FybLN6sB32%2BqshpGcNttTNvyj5Kqoe%2BObxPl3i4u4EKIZqKDDn9ZdPWlB0ENyVmww%3D,108
