_id,טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
1,טבלת ישובים    ,967,אבו ג'ווייעד )שבט(       ,ABU JUWEI'ID             ,62,באר שבע             ,62,באר שבע                  ,0,
2,טבלת ישובים    ,472,אבו גוש                  ,ABU GHOSH                ,11,ירושלים             ,11,ירושלים                  ,0,
3,טבלת ישובים    ,473,אבו סנאן                 ,ABU SINAN                ,24,עכו                 ,24,עכו                      ,0,
4,טבלת ישובים    ,935,אבו סריחאן )שבט(         ,ABU SUREIHAN             ,62,באר שבע             ,62,באר שבע                  ,0,
5,טבלת ישובים    ,958,אבו עבדון )שבט(          ,ABU  ABDUN               ,62,באר שבע             ,62,באר שבע                  ,0,
6,טבלת ישובים    ,1042,אבו עמאר )שבט(           ,ABU  AMMAR               ,62,באר שבע             ,62,באר שבע                  ,0,
7,טבלת ישובים    ,932,אבו עמרה )שבט(           ,ABU  AMRE                ,62,באר שבע             ,62,באר שבע                  ,0,
8,טבלת ישובים    ,968,אבו קורינאת )שבט(        ,ABU QUREINAT             ,62,באר שבע             ,62,באר שבע                  ,0,
9,טבלת ישובים    ,1342,אבו קרינאת )יישוב(       ,ABU QUREINAT             ,62,באר שבע             ,62,באר שבע                  ,68,נווה מדבר
10,טבלת ישובים    ,966,אבו רובייעה )שבט(        ,ABU RUBEI'A              ,62,באר שבע             ,62,באר שבע                  ,0,
11,טבלת ישובים    ,961,אבו רוקייק )שבט(         ,ABU RUQAYYEQ             ,62,באר שבע             ,62,באר שבע                  ,0,
12,טבלת ישובים    ,1375,אבו תלול                 ,ABU TULUL                ,62,באר שבע             ,62,באר שבע                  ,68,נווה מדבר
13,טבלת ישובים    ,652,אבטין                    ,IBTIN                    ,31,חיפה                ,31,חיפה                     ,12,זבולון
14,טבלת ישובים    ,1275,אבטליון                  ,AVTALYON                 ,24,עכו                 ,20,כרמיאל                   ,56,משגב
